,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_utilization,month,day_of_week,is_weekend,season,pm_interaction,no2_o3_ratio,aqi_category,thermal_stress,city_freq,density_Suburban,density_Urban,hospital_admissions
is_weekend,-0.007363309822181489,-0.005741470938604519,0.0024134297664892756,0.006108796021345245,-0.007340220080018034,0.001538407688687447,0.001675477137011529,-0.0028155427553625927,-0.00012422797561495176,0.7905682982776477,1.0,3.849364327768142e-05,-0.003438624756999031,0.011002568883702808,-0.005433217054554164,0.0011811866734385648,0.001298931409407566,0.0014611149573855885,-0.0006319844999695168,-0.0027035476929206286
season,0.009139448879414801,-0.0036971966455597908,0.0008013584359979914,-0.0006094176034483557,0.004616836892138207,-0.006895197661654545,-0.002296766313892646,0.00581374919329075,0.575285324740662,-1.2662616155800828e-05,3.849364327768142e-05,1.0,-0.002721068371116267,-0.0037395301697684302,0.00976260837605209,-0.006338911912507452,0.0038072391003950985,8.862817070647244e-05,-0.0025564866042229566,0.001950406162922312
pm_interaction,0.004495665373724208,0.6985485029973979,0.6597565787646088,0.0040263057861389265,-0.0006438442722291576,-0.003769788245121082,0.0061727655147915915,0.08324560326515582,0.0002534783756553565,-0.0011126753556566598,-0.003438624756999031,-0.002721068371116267,1.0,0.0002466479011062651,0.004323568779683211,0.00010557369053560732,-0.0020795136163496777,0.0035252819119796397,6.474528914030998e-06,0.27426008222156634
no2_o3_ratio,0.002028862893705463,0.002493434467284111,-0.0007520947249291546,0.4260178544457509,-0.5182202166832004,0.0027456750226929664,0.006735195352208874,-0.0009112472999796683,-0.001935536043562752,0.008619141612807918,0.011002568883702808,-0.0037395301697684302,0.0002466479011062651,1.0,0.001161862496768023,0.005066605921756192,-0.007684226893148324,-0.0027189351291072744,0.0003221129816322393,0.0008208684038891318
aqi_category,0.9347974348163617,0.00290704128913294,0.002017744415408814,0.001968585202668171,-0.0030799503840718352,-0.004703998206712994,-0.0021613102226467743,-0.0012478911483495175,0.0068346396663396545,-0.0037329186603366556,-0.005433217054554164,0.00976260837605209,0.004323568779683211,0.001161862496768023,1.0,-0.006382885913362933,-0.0028348665118946236,-0.0024992771954220733,-0.001853769760753971,-0.001625622695966077
thermal_stress,-0.0064953174776140555,-0.0033506991076746088,0.001776242131950836,0.0036649800293369556,-0.0017054361328235725,0.8418022120962482,0.4301181743739171,-0.008151148515791358,-0.0021135820041087265,0.0016803569886668286,0.0011811866734385648,-0.006338911912507452,0.00010557369053560732,0.005066605921756192,-0.006382885913362933,1.0,-0.001022731372308256,-0.001739712288491771,0.0031313949944359043,-0.003772195394787571
city_freq,-0.0025848609667570624,-0.0033941103599951557,-0.0011797517799932717,-0.0007142133830636663,0.003987200532808732,-0.000631713027066219,0.002534576039487976,0.003097665293743488,0.0016824427867110669,0.0023423236934621895,0.001298931409407566,0.0038072391003950985,-0.0020795136163496777,-0.007684226893148324,-0.0028348665118946236,-0.001022731372308256,1.0,0.0002191026126663082,-0.0001318277103636446,0.003358867266334465
density_Suburban,-0.001677593067761021,0.0003039543333780898,0.004883152264299556,-0.0010585112014285028,-0.00018961922883776897,-0.0020427873019627533,0.0021678052198649644,-0.00332187947826536,0.00051461686844292,-0.000539323167665671,0.0014611149573855885,8.862817070647244e-05,0.0035252819119796397,-0.0027189351291072744,-0.0024992771954220733,-0.001739712288491771,0.0002191026126663082,1.0,-0.8018817438876699,-0.0009563832506601629
density_Urban,-0.002701742125626947,4.2737709748160364e-05,-0.0019065032186691003,-0.002227621382272929,3.063952495963166e-05,0.002161308472982843,0.0004281135626119661,0.003864182839120268,-0.00019992776617473206,0.0006877595355484302,-0.0006319844999695168,-0.0025564866042229566,6.474528914030998e-06,0.0003221129816322393,-0.001853769760753971,0.0031313949944359043,-0.0001318277103636446,-0.8018817438876699,1.0,-0.0005023215747165661
hospital_admissions,-0.00039335445854946777,0.3923087916068885,0.0005374456958405516,0.001279013933403311,-0.0030319593291496263,-0.0037828286819975247,9.882924510522836e-06,0.2988147863545128,0.005726038176211556,-0.0028864229704542153,-0.0027035476929206286,0.001950406162922312,0.27426008222156634,0.0008208684038891318,-0.001625622695966077,-0.003772195394787571,0.003358867266334465,-0.0009563832506601629,-0.0005023215747165661,1.0
